ID,Matemática,Linguagens,Ciências da Natureza,Ciências Humanas,Redação
127,7.33,8.25,8.0,8.25,8.75
128,7.17,8.5,7.33,8.83,8.83
129,8.42,7.33,9.08,7.0,8.58
130,7.08,8.42,7.08,8.17,8.5
131,7.67,8.0,7.33,9.0,8.58
132,8.42,7.75,8.42,6.25,6.67
133,5.75,5.67,6.17,5.83,5.42
134,9.08,7.25,8.25,7.83,6.83
135,7.75,8.75,7.92,8.67,8.75
136,6.83,8.42,8.08,8.42,8.33
137,6.83,8.5,8.17,8.75,8.83
138,7.33,9.17,8.0,7.67,9.0
139,9.0,8.83,8.83,9.0,9.58
140,8.33,8.08,8.67,7.25,7.83
141,8.67,7.67,8.17,7.33,7.17
142,8.33,8.5,8.08,8.58,8.25
143,7.83,7.67,7.58,8.25,9.0
144,8.33,7.92,8.25,7.25,7.42
145,9.17,9.08,9.17,9.42,9.25
146,6.5,5.83,6.0,6.0,6.33
147,8.25,8.67,8.33,8.5,8.75
148,8.17,7.42,9.17,6.25,6.92
149,8.33,6.92,8.92,7.75,7.17
150,9.08,9.17,9.33,8.75,9.42
151,8.5,7.75,8.42,7.5,7.83
152,8.0,8.75,6.83,8.75,8.75
153,8.5,7.75,8.42,8.33,7.25
154,7.67,8.5,7.67,8.67,8.58
155,8.58,6.25,7.92,7.33,7.92
156,8.17,8.0,8.83,6.5,7.5
157,9.0,7.08,8.17,7.92,6.92
158,8.17,7.33,8.33,7.42,7.58
159,9.25,8.92,8.5,9.33,9.58
160,8.25,7.75,7.92,7.33,7.67
161,7.17,8.75,7.67,8.5,8.17
162,5.33,5.75,6.08,6.0,6.17
163,8.67,7.67,8.33,7.25,7.33
164,8.33,7.83,8.42,7.92,7.33
165,7.75,8.67,7.75,8.33,8.17
166,8.5,7.75,8.42,7.58,7.75
167,7.58,8.42,7.42,8.58,8.83
168,9.25,9.08,9.58,9.08,9.17
169,6.75,6.0,5.83,6.33,6.25
170,8.42,7.92,8.08,6.83,6.92
171,8.92,8.83,9.17,8.83,8.83
172,7.25,8.42,6.75,8.58,8.42
173,8.25,7.58,8.5,7.83,7.42
174,8.75,6.92,8.25,7.58,7.67
175,8.25,8.0,8.58,7.83,7.92
176,6.75,8.67,8.42,9.0,9.08
177,9.08,8.5,9.08,9.0,9.0
178,7.33,8.58,7.58,7.92,8.5
179,5.83,6.25,5.92,5.92,5.92
180,6.75,8.67,7.33,8.5,8.0
181,8.33,6.67,8.92,7.5,7.83
182,6.25,5.75,5.67,5.67,6.08
183,8.33,9.0,8.58,7.75,7.83
184,8.0,8.5,7.58,8.75,7.92
185,6.92,9.08,8.5,9.17,8.58
186,9.33,7.67,8.5,6.67,8.42
187,8.5,7.67,8.42,6.42,7.5
188,8.92,9.08,9.0,9.0,9.42
189,8.92,8.83,8.5,7.08,7.75
190,9.33,8.5,8.92,8.83,8.92
191,8.5,6.92,8.92,7.25,6.92
192,7.92,7.17,8.25,7.25,6.17
193,8.5,6.83,8.83,7.42,7.92
194,8.67,8.58,8.08,7.25,8.75
195,8.33,7.58,8.75,8.0,7.25
196,9.17,8.58,9.33,8.92,9.33
197,8.83,9.0,8.75,9.08,8.75
198,8.92,9.25,8.67,9.5,8.83
199,8.42,7.0,8.25,6.92,8.08
200,7.42,8.67,7.5,8.5,8.92
201,8.42,8.17,8.58,6.58,7.5
202,8.58,7.67,9.08,8.58,7.92
203,8.5,6.83,8.33,7.33,8.0
204,9.25,9.08,8.83,9.33,9.0
205,8.25,7.75,8.33,7.75,7.17
206,8.67,6.67,8.17,7.08,7.17
207,8.67,7.0,8.17,8.0,7.5
208,7.67,8.0,8.0,8.75,8.5
209,6.25,5.92,5.75,5.5,5.75
210,8.5,8.58,8.25,6.33,6.83
211,8.42,7.33,8.5,7.58,7.75
212,8.75,7.42,8.42,8.17,7.92
213,8.75,6.5,7.83,6.25,6.58
214,9.08,9.0,9.08,9.17,8.92
215,8.5,7.92,7.75,7.25,6.92
216,7.42,8.25,8.25,8.83,8.58
217,8.83,8.83,8.58,8.75,8.83
218,6.83,7.92,7.0,8.75,8.25
219,7.58,8.92,7.25,8.5,8.0
220,5.92,6.08,5.83,6.25,6.42
221,8.75,9.17,8.92,9.25,8.83
222,8.75,9.25,9.17,9.0,9.17
223,8.58,7.67,8.17,7.75,7.17
224,8.83,7.08,8.42,7.92,7.42
225,7.58,8.67,6.58,8.75,8.42
226,9.5,9.0,9.0,9.08,9.08
227,8.0,7.67,8.67,7.42,7.17
228,6.92,8.33,7.58,8.58,8.17
229,8.58,8.42,8.17,7.83,7.58
230,8.58,7.75,8.83,7.83,7.5
231,8.75,7.58,8.5,7.58,7.17
232,6.33,6.25,6.33,6.33,5.83
233,5.75,6.08,6.25,6.25,6.17
234,8.25,6.33,8.17,7.58,7.17
235,8.83,7.67,8.42,7.33,7.17
236,9.17,7.17,8.25,7.08,6.5
237,7.17,8.83,7.58,8.92,8.33
238,7.42,8.17,7.67,8.42,8.42
239,7.92,8.17,7.92,8.67,9.0
240,7.42,8.5,7.75,8.75,8.58
241,8.33,8.08,7.92,7.67,7.08
242,8.83,9.08,8.92,8.75,8.83
243,7.33,8.42,7.5,8.17,8.75
244,8.58,7.42,8.08,7.58,7.5
245,6.0,5.83,5.67,6.08,6.17
246,8.83,8.67,9.0,9.17,9.0
247,8.75,7.33,8.25,7.33,7.67
248,8.5,7.58,8.83,8.0,7.17
249,8.5,7.08,9.0,7.42,7.67
250,8.25,8.5,8.58,6.92,7.08
251,8.75,7.75,8.58,8.17,7.67
252,7.5,9.08,7.5,8.42,8.33
253,7.75,8.33,7.58,8.5,8.08
254,7.0,8.5,7.75,8.17,8.67
255,8.83,9.08,8.67,9.08,9.58
256,8.25,7.33,8.42,7.42,6.92
257,8.58,6.67,8.25,7.08,8.08
258,7.08,8.5,7.08,8.92,8.33
259,6.17,6.0,6.17,5.92,6.08
260,8.33,6.58,8.42,7.42,7.58
261,6.75,8.33,7.92,8.75,9.0
262,9.58,8.75,8.5,8.75,8.92
263,7.17,8.17,7.5,8.92,8.67
264,7.17,8.25,8.33,8.5,8.42
265,9.0,9.17,8.67,8.92,8.92
266,8.83,9.08,8.92,9.33,9.0
267,7.5,8.42,7.92,8.25,8.42
268,8.83,7.58,8.42,7.25,7.5
269,5.92,5.75,6.08,5.67,5.92
270,7.25,8.42,7.08,8.5,8.5
271,6.75,8.92,7.58,9.0,8.83
272,7.58,8.58,7.25,7.83,7.75
273,8.33,8.5,7.08,8.67,8.67
274,6.0,5.58,6.0,5.83,6.08
275,8.5,7.33,8.75,7.67,7.67
276,9.25,8.83,9.0,9.17,9.17
277,5.5,6.08,5.75,6.25,6.75
278,8.17,8.33,8.5,7.92,7.33
279,7.83,9.25,7.17,8.58,8.58
280,5.92,5.67,6.5,5.75,5.58
281,6.08,6.08,6.25,6.08,6.25
282,8.83,7.83,8.5,7.42,7.75
283,8.42,7.75,8.75,7.33,8.67
284,7.92,8.33,6.92,8.25,8.08
285,9.0,8.67,8.67,9.0,8.92
286,8.25,7.25,8.33,8.17,7.67
287,8.17,7.67,9.17,8.08,7.0
288,9.33,7.75,9.08,8.08,8.17
289,8.33,8.17,8.5,8.75,8.0
290,7.83,8.33,7.92,8.08,8.42
291,8.0,8.17,7.67,8.25,8.67
292,8.58,6.92,8.17,7.83,8.0
293,8.33,8.58,7.83,8.42,8.42
294,6.5,8.42,7.92,7.92,8.5
295,9.08,8.92,9.08,9.58,9.17
296,8.17,7.83,8.42,7.92,6.75
297,8.67,7.42,7.83,6.92,8.08
298,8.92,9.0,8.75,8.83,9.33
299,7.92,8.42,8.42,6.75,7.92
300,8.5,7.5,8.5,7.67,7.25
301,8.17,8.67,8.5,7.5,6.42
302,7.92,7.42,8.83,7.75,8.0
303,9.25,9.0,9.33,8.83,8.67
304,8.67,7.5,8.33,7.75,8.17
305,9.25,9.58,8.83,8.67,8.83
306,8.67,8.58,7.0,8.58,8.33
307,8.67,8.17,8.25,7.75,7.25
308,8.67,8.0,8.33,6.42,8.0
309,8.75,8.92,7.33,8.58,8.25
310,6.92,8.5,8.25,8.75,8.92
311,9.25,9.08,8.92,9.0,9.33
312,7.25,8.25,7.58,8.58,8.92
313,7.42,8.33,7.75,8.67,8.25
314,6.25,5.75,6.0,5.92,5.92
315,8.75,6.92,8.67,7.67,7.42
316,7.67,8.17,7.67,8.33,8.42
317,8.42,7.0,8.58,6.83,7.83
318,8.33,7.92,6.83,8.42,8.17
319,9.17,7.0,7.83,8.67,6.33
320,7.67,8.58,6.58,8.5,8.5
321,8.25,7.5,8.33,7.83,7.67
322,7.92,8.83,7.58,8.92,8.42
323,7.25,8.25,8.0,7.83,9.0
324,6.33,5.67,5.75,5.83,6.42
325,7.67,8.42,7.33,8.33,8.25
326,8.08,6.92,8.58,7.92,7.33
327,9.17,9.0,9.0,8.83,9.17
328,8.92,8.42,9.08,7.08,7.25
329,6.42,8.5,7.67,8.25,8.33
330,8.42,8.0,8.67,7.08,7.08
331,7.42,8.08,7.0,9.17,9.0
332,8.42,7.67,9.0,7.5,7.25
333,7.75,8.58,8.25,8.25,8.42
334,7.92,7.17,8.0,6.92,7.5
335,9.33,8.75,8.92,9.0,9.0
336,8.5,8.08,8.67,7.08,7.67
337,8.33,7.33,8.58,8.0,7.17
338,8.5,8.42,7.67,8.33,8.92
339,7.5,8.5,7.58,8.5,8.17
340,7.0,8.25,7.67,8.58,8.0
341,7.58,8.58,7.17,8.42,9.0
342,8.33,8.42,7.25,8.58,8.92
343,8.83,7.08,8.25,8.08,8.08
344,9.17,9.0,9.08,9.08,9.25
345,8.58,7.25,8.0,8.33,7.33
346,9.5,9.25,9.17,9.0,9.0
347,8.92,8.67,9.0,7.58,6.42
348,5.92,6.5,6.0,5.75,6.08
349,8.83,7.75,8.0,8.17,7.08
350,6.08,6.08,6.0,6.42,6.17
351,8.67,6.58,8.67,8.5,7.75
352,7.33,8.58,7.58,8.67,8.58
353,8.25,7.0,8.08,7.08,9.0
354,9.25,9.08,9.17,9.33,8.83
355,8.33,7.92,8.83,7.33,7.58
356,7.17,8.92,7.58,7.92,8.33
357,8.92,8.25,8.5,7.67,7.25
358,7.5,8.42,8.33,9.33,8.25
359,7.75,8.42,7.83,8.67,7.83
360,6.83,8.08,7.42,8.67,9.0
361,7.67,8.25,7.67,8.33,8.67
362,8.58,8.0,8.75,7.67,7.17
363,7.58,8.75,6.17,8.75,8.42
364,9.25,8.67,8.75,8.75,9.08
365,8.75,8.92,9.17,9.0,9.0
366,8.0,8.42,7.17,8.5,8.5
367,8.83,9.0,9.17,9.08,9.08
368,8.83,7.25,8.08,7.42,7.42
369,7.0,8.42,7.67,8.58,8.0
370,8.67,7.75,8.83,6.58,7.17
371,7.25,8.25,7.33,8.75,8.92
372,8.83,9.0,9.17,9.0,8.83
373,8.75,7.92,8.83,7.17,7.25
374,8.42,7.08,8.67,7.58,7.0
375,7.25,8.75,7.83,9.08,8.25
376,8.08,6.67,8.33,7.75,7.75
377,9.08,8.92,8.75,9.33,9.17
378,8.92,7.67,9.0,7.83,8.17
379,8.58,7.75,8.5,7.17,8.67
380,8.33,7.92,8.0,8.67,8.67
381,7.0,8.33,7.17,8.33,8.17
382,8.08,8.75,8.25,8.75,9.17
383,8.75,8.92,8.58,8.83,8.92
384,8.17,7.67,8.67,6.92,7.25
385,8.08,8.25,6.25,8.5,8.67
386,8.08,6.75,9.08,7.67,7.42
387,7.17,8.42,7.25,8.67,9.25
388,9.25,9.0,8.33,8.92,9.17
389,9.0,7.5,8.83,7.17,7.75
390,7.58,8.42,7.25,8.42,8.33
391,8.92,6.92,8.42,7.75,7.92
392,8.33,6.92,9.17,6.75,7.42
393,7.42,8.0,6.5,8.83,8.25
394,7.92,8.17,7.42,8.33,8.67
395,9.17,9.0,9.17,9.0,8.67
396,7.67,8.92,7.17,8.58,9.25
397,8.17,7.08,8.75,8.33,7.83
398,5.67,6.08,5.58,5.83,6.17
399,8.42,7.58,8.58,8.17,8.08
400,8.33,8.0,9.25,7.25,7.92
401,7.58,8.58,7.75,8.17,8.08
402,6.75,8.58,7.33,8.83,8.33
403,6.25,8.08,7.5,8.58,8.25
404,8.75,8.75,9.08,9.0,9.17
405,8.17,8.5,7.58,8.5,8.5
406,8.75,8.92,8.42,7.83,8.08
407,8.33,8.58,8.42,8.92,8.67
408,6.17,6.08,5.92,6.33,5.92
409,8.17,8.17,8.5,8.33,7.83
410,7.67,7.75,7.67,8.92,8.58
411,6.75,8.83,8.0,8.5,8.58
412,8.42,7.08,8.92,6.67,7.42
413,7.25,8.58,7.17,8.42,8.5
414,7.92,8.75,7.17,8.92,8.33
415,7.17,8.5,7.42,9.25,8.92
416,9.17,7.83,8.08,6.17,8.58
417,5.83,5.83,5.58,5.83,5.92
418,8.42,7.5,8.92,7.25,7.5
419,6.33,6.25,5.75,5.92,5.67
420,7.17,8.42,7.67,8.5,8.67
421,8.67,7.33,8.0,7.42,7.83
422,7.83,8.67,8.08,8.33,8.67
423,9.0,7.58,8.33,7.67,7.0
424,8.17,8.25,8.5,7.42,8.25
425,8.75,7.75,8.75,7.92,8.0
426,9.33,7.58,8.5,7.33,7.67
427,8.67,6.83,8.42,8.0,7.5
428,6.92,8.83,8.17,9.0,8.17
429,7.33,8.42,7.33,8.5,9.0
430,7.83,8.75,7.58,9.0,8.5
431,6.92,8.0,7.83,8.33,8.83
432,8.67,7.08,8.25,7.0,7.67
433,8.67,7.42,8.83,7.58,7.67
434,8.92,9.08,8.83,9.17,8.92
435,7.08,8.33,7.83,8.75,8.58
436,8.33,8.17,8.25,8.75,8.5
437,7.17,8.5,7.33,8.33,8.5
438,8.67,7.33,8.5,7.25,7.25
439,8.92,9.0,8.83,9.08,9.25
440,7.33,9.25,7.17,8.5,9.25
441,8.17,8.58,7.08,8.17,8.25
442,7.17,8.17,7.75,8.25,8.83
443,8.25,7.58,8.33,8.25,8.08
444,8.42,7.17,8.17,6.75,7.58
445,7.5,8.75,7.67,8.5,8.0
446,8.25,6.92,8.17,7.42,7.75
447,7.83,7.75,9.08,7.17,7.33
448,7.0,8.25,8.17,8.42,8.42
449,7.67,8.5,7.0,8.5,8.58
450,8.17,9.08,7.42,8.5,8.75
451,8.25,8.25,8.5,7.92,7.75
452,8.83,7.58,8.5,8.08,8.25
453,8.75,9.08,9.08,9.0,9.25
454,8.58,7.08,8.5,5.92,7.67
455,8.67,8.83,9.25,8.83,9.0
456,8.25,7.5,9.0,7.58,7.08
457,8.67,8.58,7.0,8.0,8.67
458,8.67,8.17,8.33,6.92,7.75
459,7.75,8.17,8.5,8.67,8.5
460,7.33,8.08,8.42,9.0,8.75
461,8.58,8.0,8.83,8.08,8.5
462,8.0,7.92,8.75,7.83,7.75
463,6.92,8.42,7.83,8.17,8.17
464,7.0,9.08,7.75,8.58,8.33
465,8.58,7.17,8.75,7.5,7.58
466,8.75,8.08,8.58,7.67,8.25
467,8.25,6.92,7.92,7.17,7.0
468,8.5,9.17,7.17,8.0,7.67
469,8.92,6.67,9.0,7.58,7.83
470,8.42,7.5,9.25,8.08,7.58
471,8.75,9.17,8.83,9.0,9.08
472,9.17,9.08,8.75,9.08,8.75
473,8.58,7.5,8.17,8.33,7.25
474,8.08,8.67,6.83,8.42,9.17
475,8.75,6.83,8.92,7.0,8.42
476,8.0,7.67,8.08,7.83,7.83
477,8.83,6.75,8.83,8.5,8.33
478,8.5,7.25,8.25,7.92,7.33
479,7.25,8.42,7.17,8.08,8.5
480,7.42,8.5,7.33,8.33,8.17
481,7.33,7.75,7.08,8.25,8.42
482,8.58,8.0,9.0,7.92,7.92
483,6.08,5.83,6.08,6.33,5.58
484,6.25,6.33,5.83,6.0,6.33
485,7.17,8.58,7.42,8.33,8.83
486,8.58,7.5,8.67,7.83,6.75
487,9.08,8.08,8.42,6.5,7.58
488,8.42,8.08,7.75,7.17,7.83
489,8.75,8.58,9.5,9.0,9.08
490,7.92,8.08,7.25,8.67,8.33
491,8.92,8.83,9.0,9.25,9.0
492,8.75,6.92,8.58,6.58,7.67
493,8.5,8.75,6.58,8.33,8.5
494,8.42,7.83,8.5,8.17,7.33
495,8.67,7.08,7.83,7.17,8.0
496,8.25,7.58,8.33,7.58,8.83
497,8.0,8.67,7.33,9.08,8.5
498,8.25,7.0,8.58,7.75,7.08
499,8.25,7.25,8.58,8.0,7.83
500,8.33,9.08,9.08,9.0,9.0
501,6.75,8.92,6.67,8.33,8.83
502,8.25,8.58,6.5,8.5,8.92
503,8.5,7.75,8.67,8.17,7.25
504,8.67,8.58,8.58,6.92,7.33
505,8.83,8.17,8.25,7.92,6.75
506,8.25,7.75,8.58,8.0,7.25
507,6.67,9.08,7.33,8.67,7.83
508,7.5,8.42,6.5,8.58,8.0
509,8.83,9.08,9.25,8.83,9.0
510,8.75,8.83,9.25,9.08,9.0
511,6.25,6.25,6.17,6.0,6.08
512,6.83,8.5,7.83,8.58,8.75
513,9.17,9.0,8.67,9.25,9.33
514,8.75,8.67,7.42,8.75,8.92
515,9.0,8.92,9.17,8.83,9.33
516,8.92,7.17,8.58,7.67,8.08
517,8.67,7.5,8.5,7.33,7.67
518,8.92,7.92,8.42,7.08,7.67
519,6.75,8.67,6.5,8.33,8.08
520,8.0,8.33,8.17,8.33,8.67
521,7.92,7.33,8.67,7.58,7.75
522,8.83,7.42,8.75,7.33,7.33
523,8.67,7.5,8.58,7.83,8.42
524,6.25,6.08,5.75,6.08,5.92
525,8.17,7.83,9.0,7.25,7.5
526,6.08,6.33,6.0,5.83,6.0
527,6.08,5.83,5.75,5.83,6.08
528,7.92,8.75,8.33,8.25,8.33
529,8.67,7.58,8.67,7.25,6.67
530,7.42,8.58,7.17,8.83,8.33
531,8.42,7.42,8.33,7.83,7.75
532,8.75,7.5,8.17,7.25,6.75
533,6.92,8.67,7.83,9.0,9.0
534,8.75,6.92,8.67,7.0,6.83
535,8.75,7.25,8.33,7.33,6.58
536,8.42,7.42,8.25,7.58,7.83
537,8.92,7.25,7.75,8.0,6.83
538,7.83,6.58,8.67,7.75,7.67
539,7.83,8.83,7.42,8.58,8.25
540,8.92,8.08,8.42,7.67,6.67
541,7.42,8.58,7.67,8.25,8.42
542,6.92,8.75,7.42,9.08,9.0
543,7.25,8.58,8.67,8.17,8.08
544,7.75,8.17,7.92,7.17,7.08
545,8.5,6.67,8.92,7.0,8.42
546,8.17,7.75,8.42,6.92,7.42
547,7.92,8.92,7.25,8.42,8.58
548,8.08,8.92,7.17,8.0,8.83
549,8.33,7.75,9.17,7.17,7.83
550,8.42,8.92,8.75,6.58,7.42
551,7.83,7.92,8.33,7.25,6.92
552,8.08,8.0,8.67,7.58,6.58
553,8.17,8.17,8.75,7.83,7.33
554,8.33,8.67,7.58,8.67,8.83
555,8.42,8.08,8.17,7.17,7.58
556,6.75,7.75,7.58,8.17,8.33
557,9.08,9.08,9.42,9.33,9.33
558,8.58,6.33,8.17,7.83,8.0
559,8.92,7.5,9.08,7.92,7.92
560,8.33,7.42,8.83,7.83,7.17
561,8.92,8.0,8.58,6.83,7.67
562,8.25,7.33,8.58,7.08,7.08
563,8.25,8.5,7.17,9.25,8.42
564,8.17,7.17,8.0,7.08,7.67
565,6.92,9.0,7.42,8.83,8.0
566,9.33,8.92,9.42,9.08,9.08
567,7.5,8.67,7.58,8.42,8.58
568,7.67,8.5,7.42,8.67,8.5
569,7.33,8.5,7.75,8.33,8.08
570,8.83,7.33,8.17,8.08,8.75
571,9.08,9.08,8.92,9.08,8.92
572,9.0,9.42,9.08,9.42,9.08
573,9.17,9.17,9.0,9.08,9.17
574,7.75,8.58,7.83,8.58,8.17
575,8.67,9.17,9.08,8.67,9.42
576,7.58,8.42,7.17,8.5,8.83
577,6.92,7.92,7.42,8.67,8.42
578,9.0,9.33,9.5,9.08,8.92
579,8.08,8.42,8.25,7.58,7.67
580,8.25,7.42,8.0,6.83,6.92
581,8.33,8.25,8.5,7.83,7.25
582,7.33,8.25,7.58,8.75,9.0
583,6.92,8.33,7.58,8.58,8.25
584,8.25,7.5,8.25,8.67,7.33
585,8.42,8.92,8.92,9.17,8.83
586,9.0,9.25,9.0,9.0,8.92
587,8.42,7.17,9.25,8.0,7.17
588,6.92,7.83,7.75,7.83,8.08
589,5.92,5.83,6.33,6.33,6.0
590,8.17,8.33,6.83,8.75,8.58
591,9.25,9.0,9.08,9.0,9.0
592,7.92,7.83,8.42,6.25,7.5
593,8.17,7.75,8.42,6.75,7.08
594,5.92,5.92,5.92,5.75,6.25
595,8.17,8.17,8.33,9.17,8.33
596,8.25,8.75,7.92,7.67,8.08
597,5.92,5.83,5.83,6.0,5.83
598,9.17,8.83,9.17,9.58,8.83
599,6.17,5.92,5.83,5.92,5.67
600,8.08,7.67,8.92,7.83,8.0
601,7.83,7.25,8.92,7.08,6.75
602,7.42,8.58,8.0,8.58,8.67
603,7.25,8.83,7.75,9.33,8.17
604,7.92,6.67,8.08,7.75,7.5
605,8.33,7.25,8.33,7.42,8.25
606,8.33,7.83,8.5,7.25,7.67
607,7.42,8.25,7.42,8.75,8.83
608,7.25,8.92,7.25,8.75,8.67
609,8.67,7.67,8.75,6.83,7.58
610,8.25,7.75,8.58,7.92,7.42
611,7.58,8.33,7.92,8.75,8.5
612,7.92,8.33,7.83,8.75,8.67
613,9.0,8.42,9.08,9.25,8.92
614,7.5,9.0,7.5,8.58,8.58
615,7.33,8.42,6.92,8.58,8.42
616,8.92,8.33,7.17,8.58,8.5
617,7.5,8.33,7.75,8.17,8.42
618,8.75,8.08,8.0,8.17,7.17
619,7.75,8.42,8.0,8.5,8.17
620,8.33,8.08,8.25,7.5,6.75
621,9.17,8.83,9.08,8.92,9.33
622,7.25,8.42,7.0,8.58,9.25
623,8.5,8.83,6.83,8.33,8.58
624,5.83,6.25,5.83,6.08,6.0
625,8.42,7.33,8.33,7.5,6.67
626,7.17,8.5,7.42,8.5,8.58
627,8.58,6.83,9.0,8.0,6.75
628,8.0,7.67,9.0,8.67,6.33
629,8.83,7.75,8.42,7.5,7.25
630,8.08,8.67,7.25,8.17,9.17
631,8.08,8.67,8.08,8.33,8.17
632,5.92,6.5,6.0,6.08,5.75
633,8.08,7.08,8.08,8.0,8.0
