ID,Matemática,Física,Biologia,Química,Língua Portuguesa,Língua Inglesa,Artes,Filosofia,Redação,História,Geografia
89,8.0,7.83,6.42,8.58,7.42,7.5,7.5,7.67,8.17,7.75,6.83
90,8.0,8.58,7.25,8.92,7.67,7.75,7.75,6.75,7.75,8.08,6.92
91,8.42,8.67,7.67,8.92,7.0,8.17,7.42,7.33,7.08,8.5,7.33
92,9.33,8.75,8.17,8.5,7.5,7.83,7.67,7.25,6.17,7.5,8.25
93,8.58,8.08,7.0,8.5,7.25,7.0,7.42,7.92,6.67,7.0,7.58
94,8.42,8.5,7.5,8.08,7.83,6.83,8.17,7.25,7.33,7.5,7.08
95,8.92,8.83,6.58,8.58,8.33,7.42,7.5,7.58,7.42,7.75,7.83
96,8.75,8.83,6.75,8.33,8.67,8.0,6.58,7.0,7.5,7.5,7.92
97,8.67,8.5,7.33,8.25,7.42,7.67,7.58,7.17,8.25,7.08,7.83
98,8.5,8.33,6.25,8.5,7.58,8.17,7.08,7.58,7.92,6.75,8.17
99,8.42,9.0,7.92,8.67,7.25,7.83,8.08,6.83,7.42,7.17,7.0
100,8.25,8.33,7.25,8.58,7.25,7.67,6.83,7.08,7.17,7.17,7.67
101,8.17,8.25,8.0,8.33,8.25,8.0,7.33,7.67,7.92,7.33,7.58
102,8.42,8.17,6.75,9.0,7.5,7.75,7.83,7.92,7.67,7.83,7.75
103,8.42,8.42,7.5,8.58,7.92,7.67,7.67,7.67,7.5,7.5,6.83
104,8.33,8.75,6.92,8.25,7.42,6.83,7.67,7.92,6.67,6.67,7.67
105,8.75,8.75,7.92,8.75,6.83,7.5,8.17,8.75,7.75,7.67,7.42
106,8.08,8.58,7.08,8.75,6.83,7.58,7.33,7.08,7.33,7.83,7.25
107,8.08,8.75,7.67,8.42,7.33,7.92,7.25,7.33,8.5,7.33,7.92
108,8.75,8.08,7.92,8.75,7.58,7.5,7.75,7.08,7.92,7.92,7.83
109,8.5,8.83,7.5,8.75,8.0,7.33,8.42,7.92,6.75,7.08,6.42
110,8.5,8.33,7.42,8.83,8.08,7.17,7.0,8.0,7.25,7.0,8.0
111,8.92,8.17,8.42,8.25,6.75,7.75,7.5,8.08,7.25,7.17,7.0
112,8.83,8.58,7.5,9.0,7.25,8.25,6.75,7.33,7.25,7.42,8.0
113,8.58,9.42,6.58,8.33,7.5,7.92,7.67,6.33,7.33,8.83,7.58
114,8.5,8.42,8.08,8.67,8.0,7.58,7.58,6.75,7.67,7.5,6.67
115,8.58,8.83,7.58,8.58,7.08,7.0,7.25,7.25,7.08,7.0,7.83
116,8.67,8.75,8.25,8.67,6.75,7.67,7.5,7.25,7.67,8.42,7.25
117,8.17,8.33,8.42,8.67,6.67,7.17,7.0,7.08,7.42,7.25,7.75
118,8.75,8.58,7.75,8.25,7.58,7.25,6.5,7.08,7.25,7.58,6.83
119,8.25,8.67,7.42,8.67,8.42,8.25,7.83,7.17,7.67,7.42,7.67
120,7.92,8.58,7.08,8.75,7.42,7.25,8.33,8.25,6.75,7.83,7.33
121,7.83,8.42,7.5,8.75,7.33,7.67,7.0,7.58,7.5,8.5,7.08
122,8.58,8.25,7.0,8.58,7.08,7.25,6.75,7.33,7.5,7.25,6.83
123,8.17,8.75,7.75,8.5,7.08,8.33,7.92,8.17,8.25,6.83,7.08
124,8.25,8.67,8.08,8.5,6.58,7.33,7.5,6.83,7.67,8.42,7.83
125,8.92,8.0,7.42,8.75,7.08,7.58,7.67,8.33,8.08,7.67,7.58
126,8.5,8.0,8.67,7.83,6.5,7.08,7.83,7.25,7.75,7.5,7.5
127,8.75,8.67,7.08,7.92,8.33,7.83,7.67,7.83,7.08,7.33,6.67
128,8.33,8.75,7.17,9.0,7.42,7.25,6.5,7.42,7.0,7.08,8.17
129,8.17,8.58,7.75,8.17,7.08,8.75,6.58,6.75,7.5,7.83,7.58
130,8.58,8.17,7.33,8.25,8.17,7.5,6.67,7.83,7.58,6.83,7.75
131,8.58,8.25,8.17,8.92,7.5,8.25,7.42,7.83,7.17,7.17,7.92
132,8.5,8.33,7.08,8.33,7.75,7.92,8.42,7.67,7.25,8.25,7.5
133,8.5,8.33,7.25,8.67,7.25,7.33,7.0,7.33,8.42,7.17,6.67
134,8.92,8.75,6.92,8.67,7.5,7.0,7.0,7.17,7.33,7.42,6.33
135,8.33,8.5,7.0,8.5,7.5,7.58,7.17,8.42,7.25,7.5,6.92
136,8.08,8.42,8.0,8.17,7.33,7.83,7.33,8.08,7.67,7.33,6.42
137,8.83,8.33,7.67,8.33,7.75,7.5,7.0,7.67,7.17,7.67,6.83
138,7.83,8.42,7.33,8.67,7.17,7.0,6.58,7.58,7.33,7.67,7.75
139,8.5,8.58,7.5,8.5,8.75,7.42,8.58,7.33,7.83,7.75,8.5
140,9.0,8.75,8.5,8.5,7.58,7.42,7.33,7.25,7.0,7.42,7.83
141,8.25,8.83,8.0,8.67,8.5,8.08,7.33,8.25,7.17,7.33,7.5
142,8.5,8.83,7.67,8.92,7.83,7.75,6.75,7.0,7.17,7.67,7.42
143,9.0,8.83,8.08,8.08,8.17,8.08,7.83,7.83,8.08,8.42,7.5
144,8.92,8.25,7.5,8.42,7.5,6.92,6.67,6.92,7.67,7.5,6.0
145,8.33,8.5,6.92,8.42,7.92,7.75,6.75,7.5,7.25,7.58,7.83
146,8.58,8.92,7.17,8.58,7.33,7.67,7.0,7.42,7.92,7.92,7.25
147,8.0,8.92,7.75,8.75,8.33,6.83,6.75,6.5,7.33,7.75,7.92
148,9.0,9.0,7.83,8.0,7.33,8.0,7.33,7.25,7.42,7.67,6.92
149,8.33,8.58,6.42,8.0,7.42,7.33,7.33,7.17,8.17,7.75,8.58
150,8.08,8.75,7.42,8.42,7.5,8.25,8.17,8.25,7.75,7.67,7.92
151,9.17,8.25,6.92,8.83,8.08,8.08,7.33,6.58,7.42,8.0,7.75
152,8.08,8.42,7.58,8.0,7.83,7.58,7.5,6.83,7.08,7.75,7.08
153,8.08,8.08,6.5,8.67,8.33,7.25,6.5,7.58,6.83,8.25,8.0
154,8.33,8.5,7.75,8.75,7.67,7.83,7.58,8.33,8.0,7.42,7.17
155,9.17,8.5,7.92,8.33,7.33,7.42,7.25,7.67,8.25,7.58,7.42
156,8.75,8.83,7.83,8.17,7.25,7.25,7.75,8.5,8.0,8.25,6.75
157,8.75,8.58,7.92,8.83,7.33,7.92,7.5,7.0,8.08,7.92,7.75
158,8.33,7.58,7.33,9.08,7.75,7.75,7.75,7.83,7.67,7.17,6.33
159,8.58,8.42,7.0,8.42,7.5,7.83,7.08,7.33,6.92,7.75,8.25
160,8.67,7.92,7.17,8.75,8.08,7.25,7.67,6.92,8.0,7.5,7.5
161,8.5,9.0,7.75,8.25,7.75,7.75,7.75,7.0,7.08,8.0,7.25
162,7.58,8.08,7.92,8.58,7.25,6.83,7.67,6.83,8.17,7.83,8.17
163,8.17,8.5,7.83,8.67,8.25,7.08,7.25,7.0,7.58,7.75,7.17
164,8.83,8.08,8.5,8.67,7.5,7.17,8.08,8.33,7.0,8.25,6.92
165,7.92,8.08,8.17,8.42,7.42,7.33,7.42,7.58,8.33,6.5,7.0
166,8.25,8.75,7.58,9.0,7.42,8.92,7.0,7.5,7.92,7.58,7.92
167,8.17,8.58,7.67,8.33,6.58,7.08,7.08,8.0,7.08,7.75,6.58
168,8.83,7.92,8.92,8.67,7.42,7.17,7.42,8.17,8.75,7.92,7.25
169,8.92,8.5,7.42,8.33,7.0,7.42,6.75,7.75,7.5,7.17,7.33
170,8.5,8.75,7.75,8.67,8.08,7.0,8.5,7.83,7.42,8.0,7.67
171,8.17,8.5,7.42,8.67,7.08,7.08,8.0,6.42,7.83,7.25,6.67
172,8.42,9.0,8.33,8.33,8.0,7.67,7.5,7.17,8.08,7.58,8.33
173,8.42,8.0,8.17,8.83,8.0,7.92,6.42,8.08,7.42,7.42,8.17
174,8.25,8.0,8.5,8.08,7.67,7.17,6.83,7.33,7.25,6.83,7.42
175,9.0,8.33,7.0,8.58,6.83,8.08,8.25,7.17,8.42,7.67,8.08
176,9.42,9.0,7.08,8.42,7.42,7.25,7.5,7.5,6.92,8.17,7.33
177,8.58,8.25,7.5,8.25,6.67,7.25,8.17,6.92,7.67,7.08,7.42
178,9.0,8.67,6.67,8.42,7.5,7.17,7.83,6.58,6.92,7.0,7.33
179,8.0,9.08,7.17,8.33,8.08,8.17,7.25,7.08,8.5,8.08,7.42
180,8.5,8.25,7.5,8.5,7.17,7.33,7.42,7.0,7.75,6.75,8.58
181,8.17,8.58,7.33,8.92,7.42,7.25,7.33,7.83,7.25,7.67,6.25
182,8.5,8.42,7.17,8.5,7.75,7.42,6.92,7.5,8.0,7.5,8.25
183,8.58,8.58,7.75,8.17,7.0,7.92,7.17,8.0,7.58,6.75,7.33
184,8.75,8.58,8.25,8.17,6.67,7.75,7.08,7.17,8.08,7.33,6.92
185,8.58,8.75,8.58,8.92,7.33,7.83,7.75,7.5,7.83,7.17,7.0
186,8.17,8.33,8.08,8.17,6.75,6.67,7.67,7.08,7.33,7.83,7.83
187,8.83,9.0,7.25,8.08,7.17,8.0,7.33,7.0,7.08,7.33,7.83
188,8.42,8.67,7.25,8.92,7.58,6.58,7.17,7.42,7.0,7.75,6.58
189,8.58,8.67,7.67,8.83,7.75,7.08,7.83,7.17,7.42,8.0,7.67
190,8.5,9.0,6.5,8.33,8.17,7.0,6.42,7.83,8.0,8.33,7.17
191,8.08,8.17,7.92,8.42,7.67,6.83,7.5,6.83,7.5,7.67,8.17
192,8.5,9.0,7.25,8.75,7.33,7.67,7.17,7.42,8.67,7.17,7.17
193,9.17,8.42,7.25,8.33,7.33,7.0,7.17,7.58,6.75,6.92,7.67
194,8.67,8.83,7.42,8.42,7.5,6.83,7.58,7.08,7.83,7.0,7.17
195,7.92,8.42,7.5,8.58,7.75,7.17,8.0,8.33,7.08,7.58,6.58
196,8.83,8.67,6.75,8.58,7.08,7.17,7.58,7.75,7.58,6.83,8.08
197,8.42,8.25,7.92,8.42,7.83,7.08,6.17,6.83,7.5,7.83,7.67
198,8.83,8.75,7.17,8.92,7.0,8.17,7.33,8.42,7.08,7.25,7.58
199,9.17,8.25,7.67,8.92,7.33,6.08,6.92,7.67,8.17,7.58,7.58
200,8.58,8.33,7.75,8.42,7.25,7.92,7.58,7.17,8.17,8.5,6.75
201,8.58,8.33,7.25,8.83,7.42,8.17,7.42,6.75,6.58,7.0,8.08
202,8.25,8.25,6.83,8.33,8.75,7.33,8.83,7.75,7.25,7.42,8.33
203,7.92,8.67,6.92,7.92,7.5,7.33,7.17,8.0,8.25,7.83,7.25
204,8.25,8.5,8.0,8.67,7.33,8.0,7.5,7.58,7.5,7.0,7.92
205,8.75,8.33,7.58,9.08,6.75,7.0,7.92,6.67,7.0,7.42,8.17
206,8.83,8.17,8.17,8.67,7.25,7.08,7.58,7.25,7.33,7.33,7.42
207,8.92,9.17,7.33,8.25,7.17,7.0,7.5,7.5,7.0,7.5,7.08
208,8.33,8.33,7.25,8.83,7.83,8.08,6.75,7.67,7.83,8.08,7.83
209,8.25,8.75,7.67,8.58,6.67,6.5,8.25,7.33,7.5,7.17,7.25
210,8.17,8.67,7.75,8.42,6.5,6.75,8.17,7.75,6.33,6.42,8.0
211,8.75,9.25,7.92,8.75,8.33,7.33,8.17,7.75,7.5,7.17,7.83
212,8.42,8.58,7.42,8.33,7.83,7.25,7.17,7.92,7.42,7.17,6.67
213,8.33,9.0,7.25,8.0,8.08,6.83,6.75,8.0,7.75,7.25,7.08
214,8.83,8.08,7.33,8.92,7.58,6.92,8.08,7.58,8.33,8.33,6.67
215,8.08,8.67,7.58,8.83,7.17,8.33,8.67,7.67,8.17,7.5,7.75
216,8.42,8.42,7.83,8.67,7.92,7.92,7.67,8.58,8.0,7.5,7.17
217,8.5,9.08,7.67,8.58,7.58,7.58,7.42,7.42,6.58,8.08,7.0
218,8.17,8.42,7.67,8.75,6.92,7.67,7.08,7.08,7.58,7.58,7.92
219,8.58,8.58,6.83,8.75,6.92,7.17,8.75,7.92,7.83,8.08,7.25
220,8.0,8.33,6.83,7.75,6.75,7.58,7.58,8.25,8.08,6.92,7.75
221,8.75,8.25,7.42,8.33,7.75,7.42,7.67,7.17,6.5,7.17,7.58
222,8.83,8.25,7.5,8.25,7.0,6.83,7.25,7.33,7.25,6.75,7.5
223,8.0,8.42,7.83,8.75,7.5,7.83,7.5,7.67,8.5,7.33,8.33
224,9.17,8.42,7.25,8.17,7.0,6.5,8.08,7.33,8.25,8.25,7.92
225,8.75,8.17,7.75,8.58,7.5,7.67,8.17,6.75,7.42,7.92,7.5
226,8.83,8.42,7.33,8.17,8.58,7.42,7.92,7.83,7.42,7.17,7.25
227,8.58,8.67,7.75,8.67,6.75,7.92,7.92,7.33,8.25,7.33,7.67
228,8.33,8.92,8.0,8.17,7.83,8.08,6.75,6.83,7.92,7.33,8.0
229,8.83,9.0,8.08,8.75,7.58,7.58,7.75,7.33,7.5,7.67,6.58
230,8.58,8.17,7.25,8.75,7.08,7.83,8.0,7.58,6.75,8.17,7.17
231,8.83,8.08,7.5,8.08,7.33,6.83,7.33,7.92,7.5,6.92,7.75
232,9.0,8.08,7.5,8.5,7.83,7.33,7.58,7.75,7.33,7.08,7.83
233,8.5,8.25,7.33,8.25,7.42,6.83,8.25,8.17,7.75,7.33,7.75
234,8.83,8.5,6.92,8.33,7.83,7.58,7.17,8.08,7.67,7.58,7.25
235,8.92,8.75,6.92,8.17,6.58,6.92,7.42,6.83,7.08,7.5,7.5
236,8.33,8.83,7.25,8.75,7.42,7.42,7.17,7.67,7.17,7.83,7.25
237,8.92,8.5,7.5,7.83,6.92,7.33,7.0,8.0,8.0,7.92,9.17
238,8.42,8.5,7.58,9.0,7.75,7.33,7.83,6.5,7.75,7.33,8.5
239,8.33,8.5,7.0,8.33,7.75,7.08,7.58,7.75,6.08,6.5,7.83
240,8.42,8.33,6.83,8.25,7.25,6.83,8.33,7.5,8.0,7.25,6.58
241,8.83,8.0,7.5,8.67,7.83,7.33,7.75,7.08,7.83,7.83,7.92
242,8.75,8.25,8.0,8.0,8.08,7.58,7.92,7.58,7.33,7.17,7.42
243,8.83,9.08,7.08,8.67,7.17,7.67,7.58,7.08,6.92,7.67,6.83
244,8.17,8.5,7.17,9.08,7.33,7.83,7.83,8.25,7.67,6.92,7.58
245,8.17,8.5,7.58,8.33,6.83,8.0,8.58,6.67,7.58,7.75,7.0
246,8.58,8.75,7.5,8.17,8.08,7.92,7.58,8.17,7.17,8.17,8.25
247,8.0,8.25,7.67,8.08,7.67,7.33,7.5,7.83,7.75,7.33,8.17
248,8.42,8.83,7.5,8.83,7.33,7.58,6.92,7.33,7.33,7.92,7.75
249,8.58,8.33,7.42,8.08,7.92,7.0,6.75,6.75,7.92,7.08,7.83
250,8.67,7.92,7.42,7.92,8.5,7.42,8.42,8.08,7.83,8.33,9.0
251,8.0,9.17,6.75,8.5,6.75,7.25,8.0,6.42,7.0,7.25,8.08
252,8.25,8.67,7.75,8.58,7.17,7.25,7.33,7.42,6.83,8.08,7.17
253,8.08,8.5,7.92,8.67,8.08,7.75,7.58,7.67,7.92,7.25,8.17
254,8.08,9.5,7.58,8.5,7.08,7.17,7.0,7.83,7.5,7.5,7.75
255,8.75,8.42,7.92,8.33,8.0,7.67,7.08,7.67,7.08,7.67,7.25
256,8.83,8.33,6.92,8.42,7.58,7.42,7.58,7.08,7.08,7.42,7.92
257,8.33,8.5,7.67,8.33,7.58,6.58,7.33,7.5,6.67,7.67,8.25
258,7.92,8.42,7.67,8.5,6.92,8.08,8.0,7.75,8.42,7.25,8.08
259,8.42,8.33,7.17,8.17,7.17,7.33,6.92,7.08,7.92,8.5,8.0
260,8.17,8.17,8.42,7.83,7.25,7.58,8.25,6.83,7.58,7.33,7.25
261,8.92,8.42,7.42,8.0,7.5,6.67,7.75,8.33,7.08,7.75,7.33
262,7.92,8.58,7.42,8.58,7.58,6.83,7.25,7.25,7.42,7.83,7.58
263,8.5,8.0,7.58,8.75,7.67,7.75,8.58,7.42,7.33,7.42,7.58
264,8.42,9.17,7.33,8.08,7.25,7.0,6.92,7.92,7.42,6.67,8.25
265,8.33,8.58,8.25,8.33,7.17,7.17,6.58,6.92,7.33,7.75,7.83
266,8.08,8.58,7.17,8.67,7.08,7.42,7.83,7.5,7.5,6.67,6.83
267,8.58,8.92,7.83,8.75,7.75,6.58,7.5,8.17,8.17,7.42,8.42
268,7.75,8.92,7.0,8.5,8.25,7.0,6.92,7.67,8.25,7.83,8.33
269,8.42,8.58,7.75,8.67,7.08,7.5,7.5,6.75,7.92,7.92,7.33
270,9.0,8.0,7.33,8.0,8.58,7.92,8.67,6.42,8.33,6.92,8.33
271,7.92,8.0,7.83,8.75,7.58,6.58,7.5,7.33,6.92,7.17,7.42
272,8.33,8.42,7.0,8.5,7.67,7.33,7.92,8.0,6.75,7.33,7.42
273,8.25,8.92,7.0,8.92,7.92,7.58,7.75,6.5,7.92,7.58,7.42
274,8.75,8.5,8.17,8.17,8.67,7.5,7.67,7.33,7.92,7.67,6.83
275,8.5,8.25,8.67,9.08,7.08,7.08,7.5,8.0,7.92,7.83,7.33
276,8.25,8.42,7.92,8.17,7.42,7.08,8.67,7.5,7.75,7.67,8.17
277,8.42,8.92,6.75,8.67,7.42,8.67,7.67,8.08,7.92,7.42,7.25
278,8.92,8.92,7.42,9.0,7.67,7.33,8.08,7.75,7.17,7.67,7.17
279,8.75,8.5,8.83,8.5,7.33,6.67,8.08,7.75,7.75,7.33,7.67
280,9.17,8.83,7.58,8.67,7.58,7.67,7.92,7.75,6.67,8.17,7.67
281,8.33,8.33,7.17,8.75,8.25,7.08,7.25,6.58,7.75,6.92,7.92
282,8.75,8.92,8.58,8.67,7.5,7.75,7.08,7.83,7.08,7.33,7.67
283,8.17,8.17,6.33,8.5,7.25,7.67,7.75,8.17,7.92,7.58,8.25
284,8.25,8.75,7.08,8.25,7.67,7.75,7.33,7.58,7.92,7.25,7.33
285,8.25,8.83,7.58,8.42,7.0,7.58,8.25,7.25,7.83,7.42,7.25
286,9.08,8.67,7.33,8.67,7.17,7.5,7.5,7.58,7.83,7.08,7.08
287,9.0,8.58,7.25,8.67,7.67,7.42,7.17,7.5,8.33,8.08,6.83
288,8.5,8.33,7.5,8.0,7.75,7.25,7.75,8.0,6.92,8.0,6.58
289,8.67,8.83,7.83,8.75,7.17,7.83,7.08,7.83,8.08,8.0,7.67
290,9.08,8.75,7.0,8.58,6.17,6.58,8.0,7.42,7.5,7.83,7.83
291,8.0,8.75,8.42,8.25,7.42,7.08,7.75,7.5,7.25,7.5,7.42
292,8.83,8.5,7.08,8.58,7.25,7.58,6.75,7.67,6.58,7.25,7.92
293,8.42,8.25,7.25,7.83,7.17,7.42,6.83,7.5,7.75,7.25,7.5
294,8.42,8.58,7.75,8.42,6.75,7.92,8.08,7.5,7.33,7.25,7.0
295,8.75,8.5,7.58,8.75,6.42,7.0,7.67,6.83,8.08,7.17,7.33
296,8.5,7.75,7.67,7.92,7.83,8.17,7.83,6.67,7.42,6.67,6.83
297,8.5,8.42,8.17,8.25,7.17,7.92,8.17,7.0,7.58,7.25,6.67
298,8.08,8.67,7.33,8.42,7.75,7.83,7.17,8.08,8.17,7.83,6.92
299,8.83,8.25,7.83,8.25,7.33,7.75,7.25,7.25,7.08,6.58,7.75
300,8.25,8.33,7.33,8.83,7.08,6.58,7.17,7.58,7.33,7.17,7.83
301,8.67,8.67,8.25,8.75,6.17,8.17,7.5,7.5,7.75,7.58,7.67
